input_company_name,company_name,match_confidence_score,status,website_domain,main_country
INTEGRITY RISK INTERNATIONAL LLC,Integrity Risk International,100.0,Auto-Accepted,integrityriskintl.com,United States
Intouch Insight Inc.,Intouch Insight,100.0,Auto-Accepted,intouchinsight.com,Canada
Intrum Debt Finance AG,Intrum,51.61290322580645,Manual-Review,intrum.ch,Switzerland
ADVIS A/S,Advis,60.0,Manual-Review,advis.se,Sweden
IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,IPG Mediabrands APAC,73.46938775510205,Manual-Review,,Singapore
Ipsos Sdn. Bhd.,Ipsos Sdn Bhd.,100.0,Auto-Accepted,,Malaysia
ISS Facility Services A/S,ISS Facility Services Ltd.,100.0,Auto-Accepted,frontend-issworld-demo.vercel.app,Denmark
ISS FACILITY SERVICES AB,ISS Facility Services AB.,100.0,Auto-Accepted,,Sweden
ISS FACILITY SERVICES AS,ISS Facility Services AS,100.0,Auto-Accepted,kantinebetaling.no,Norway
ISS GLOBAL A/S,ISS GLOBAL,50.0,Manual-Review,iss-global-bmt.com,United Kingdom
ITECTRA A/S,Itectra,100.0,Auto-Accepted,itectra.com,Denmark
JACK OF DIGITAL (PRIVATE) LIMITED,Jack of Digital,100.0,Auto-Accepted,jackofdigital.com,Pakistan
AEON DANMARK A/S,Aeon art,70.0,Manual-Review,aeonart.co,Denmark
Jastel Network Co Ltd,Jastel,100.0,Auto-Accepted,jastel.co.th,Thailand
JLL Corporate Solutions AB,JLL CORPORATE SOLUTIONS AB.,100.0,Auto-Accepted,,Sweden
JOB-INDEX A/S,Jobindex,100.0,Auto-Accepted,jobindex.dk,Denmark
JOBSTREET.COM PTE LTD,International Tax Management,37.5,Reject,itm.com.sg,Singapore
JOHNSON CONTROLS DENMARK APS,Sabroe,100.0,Auto-Accepted,sabroe.com,Denmark
JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,Jones Lang Lasalle Property Consultants Pte. Ltd.,100.0,Auto-Accepted,,Singapore
Kahoot! Denmark ApS,NicOnline,29.629629629629626,Reject,niconline.net,
KAMTOWER DANMARK A/S,KAMTOWER,50.0,Manual-Review,kamtower.com,India
KANTAR TNS AS,Kantar,75.0,Manual-Review,kantar.no,Norway
"Kaon Broadband Co.,Ltd.",broadband WebFAX,89.47368421052632,Manual-Review,mobicall.co.kr,South Korea
KERRY FREIGHT PAKISTAN (PRIVATE) LIMITED,Kerry Freight Pakistan PVT LTD.,100.0,Auto-Accepted,,Pakistan
Kerry Logistics Network Limited,Kerry Logistics,100.0,Auto-Accepted,kerrylogistics.com,Hong Kong
KINLY HOLDING AS,Kinly AS avd Trondheim,48.484848484848484,Reject,,Norway
KINNARPS A/S,Kinnarps,100.0,Auto-Accepted,kinnarps.dk,Denmark
KLM-ROYAL DUTCH AIRLINES Filial av utenlandsk foretak.,Foretak. KLM-Royal Dutch Airlines filial Av utenlandsk,84.61538461538461,Manual-Review,,Norway
KM TELECOM DANMARK A/S,KM TELECOM,71.42857142857143,Manual-Review,km-telecom.com,Denmark
KMD Venture A/S,Venture Group A/S.,58.333333333333336,Manual-Review,,Denmark
KODA,Koda Talent,36.66666666666667,Reject,kodatalent.com,United Kingdom
KOLEGRUPPEN OST ApS,Kølegruppen Øst ApS.,89.47368421052632,Manual-Review,koelegruppen.dk,Denmark
KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund St.,47.05882352941176,Reject,,Denmark
KORN FERRY (UK) LIMITED,Korn Ferry,86.95652173913044,Manual-Review,,United Kingdom
Kpmg AS Hovedkontor,KPMG - Hamar,57.14285714285714,Manual-Review,,Norway
KROLL ASSOCIATES U.K. LIMITED,Kroll Interiors,58.82352941176471,Manual-Review,krollinteriors.co.uk,United Kingdom
Kromann Reumert,Kromann Reumert,100.0,Auto-Accepted,kromannreumert.com,Denmark
LOXYSOFT AS,Loxysoft,60.0,Manual-Review,loxysoft.se,Sweden
LEASE PLAN FINANS A/S,LEASE A BOX,57.14285714285714,Manual-Review,leaseabox.dk,Denmark
LeasePlan Sverige AB,Leaseplan,62.06896551724138,Manual-Review,leaseplan.se,Sweden
LEOCH BATTERY PTE. LTD.,LEOCH Battery,100.0,Auto-Accepted,leoch.sg,Singapore
LINKEDIN IRELAND UNLIMITED COMPANY,Locateai,50.0,Manual-Review,locate.ai,United States
LINKEDIN SINGAPORE PTE. LTD.,LinkedinSingapore,87.17948717948718,Manual-Review,,Singapore
L.M. Ericsson Bangladesh Ltd.,LM Ericsson Bangladesh Ltd.,100.0,Auto-Accepted,,Bangladesh
SCANOPTIK A/S,Scan. Tek. Optik ApS.,66.66666666666666,Manual-Review,,Denmark
LOYALTY AS,Loyalty,100.0,Auto-Accepted,loyalty.no,Norway
MAKIO ApS,MAKIO,100.0,Auto-Accepted,makio.dk,Denmark
Manpower Student AB,Manpower Visby,74.50980392156863,Manual-Review,,Sweden
MANPOWER AS,MANPOWER,100.0,Auto-Accepted,manpower.no,Norway
Mapspeople A/S,MapsPeople,100.0,Auto-Accepted,mapspeople.com,Denmark
MARKEDSSJEFENE AS,Markedssjefene,100.0,Auto-Accepted,markedssjefene.no,Norway
JLT Denmark A/S,Colas Danmark,75.0,Manual-Review,colas.dk,Denmark
MARSH & MCLENNAN AGENCIES AS,Gulbrandsen Agencies,59.09090909090909,Manual-Review,gulbrandsen-agencies.no,Norway
Maven Wireless Sweden AB,Maven Wireless,73.68421052631578,Manual-Review,mavenwireless.com,Sweden
MAVENIR SYSTEMS AB,Mavenir Systems AB.,100.0,Auto-Accepted,,Sweden
MAVENIR SYSTEMS LIMITED,Mavenir Systems Inc.,100.0,Auto-Accepted,postsell.trade,United Kingdom
MAVENIR SYSTEMS UK LIMITED,Mavenir Systems Inc.,90.9090909090909,Auto-Accepted,postsell.trade,United Kingdom
Measat Satellite Systems Sdn. Bhd.,Measat Broadcast Systems Sdn Bhd.,78.125,Manual-Review,,Malaysia
Media Times Limited,Media Times Ltd.,100.0,Auto-Accepted,,Pakistan
MEISEL EIENDOM AS,Meisel AS,60.0,Manual-Review,meisel.no,Norway
META PLATFORMS IRELAND LIMITED,META World,56.25,Manual-Review,metaworld.ie,Ireland
MICROSOFT IRELAND OPERATIONS LIMITED,Microsoft Ireland Operations,100.0,Auto-Accepted,nowubuy.shop,Ireland
MICROSOFT NORGE AS,Microsoft Norway,83.87096774193549,Manual-Review,microsoft.no,Norway
MICROSOFT REGIONAL SALES PTE. LTD.,Microsoft Regional Sales Corporation,84.375,Manual-Review,,Singapore
ABC KANTINEAUTOMATER ApS,ABC Spilleautomater,69.76744186046511,Manual-Review,abcspilleautomater.dk,Denmark
NW GRUPPEN A/S,SJ Gruppen,80.0,Manual-Review,sj-container.dk,Denmark
"MIXPANEL, INC.",Mixpanel,100.0,Auto-Accepted,mixpanel.com,United States
MNEMONIC AS,mnemonic AS.,100.0,Auto-Accepted,mnemonic.io,Norway
MobilePeople ApS,Mobilepeople,100.0,Auto-Accepted,mobilepeople.dk,Denmark
"MOBILEUM, INC.",Mobileum,100.0,Auto-Accepted,,United States
MODULEX DANMARK A/S,Modulex manufacturing,66.66666666666666,Manual-Review,,Denmark
Monday. Kum Ltd.,monday U,88.88888888888889,Manual-Review,monday-university.com,Israel
Mustika Teratai Sdn. Bhd.,Mustika Teratai Sdn. Bhd.,100.0,Auto-Accepted,,Malaysia
NAGARRO AS,Nagarro,60.0,Manual-Review,nagarro-clone.vercel.app,
NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,Technowell,53.333333333333336,Manual-Review,technowell.org.in,India
NEC CORPORATION,NEC Corporation mae,88.23529411764706,Manual-Review,,Japan
NEC CORPORATION OF MALAYSIA SDN. BHD.,NEC Corporation Of Malaysia Sdn. Bhd.,100.0,Auto-Accepted,,Malaysia
NEC Scandinavia Aktiebolag,Scandinavian Packages,68.08510638297872,Manual-Review,scandinavianpackages.com,Sweden
NEMTILMELD.DK ApS,NemTilmeld,76.92307692307693,Manual-Review,nemtilmeld.dk,Denmark
Nepa AB,Nepa Sweden AB.,66.66666666666666,Manual-Review,nepa.com,Sweden
NERAS DIREKTE AS,Neras direkte,100.0,Auto-Accepted,nerasdirekte.no,Norway
Nestor Cables Oy,Nestor Cables,89.65517241379311,Manual-Review,nestorcables.fi,Finland
NET ONE ASIA PTE. LTD.,Net One Asia,80.0,Manual-Review,netoneasia.com,Singapore
NETIC A/S,Netic,100.0,Auto-Accepted,netic.dk,Denmark
NETS DANMARK A/S,NemID,72.72727272727273,Manual-Review,mitid.dk,Denmark
New Skies Satellites B.V.,New Skies Satellites B.V.,100.0,Auto-Accepted,,Netherlands
NEWS PUBLICATIONS (PRIVATE) LIMITED,OK! Pakistan,74.28571428571429,Manual-Review,okpakistan.com,Pakistan
NEXCOM A/S,Nexcom A/S.,100.0,Auto-Accepted,nexcom.dk,Denmark
NOITSO A/S,Experian,100.0,Auto-Accepted,experian.dk,Denmark
Nokia Innovations Oy,Novocam Medical Innovations,76.0,Manual-Review,futudent.com,Finland
NOKIA SERVICES AND NETWORKS MALAYSIA SDN. BHD.,Nokia Solutions And Networks Sdn Bhd.,75.0,Manual-Review,,Malaysia
NOKIA SOLUTIONS AND NETWORKS NORGE AS,Nokia solutions And Networks Norge AS,100.0,Auto-Accepted,,Norway
Nokia Solutions and Networks Oy,HEXA-X Consortium,100.0,Auto-Accepted,hexa-x.eu,Finland
"NORDEA BANK ABP, FILIAL I NORGE",Nordea,66.66666666666666,Manual-Review,nordeea.co.uk,Norway
NORDIC COMPUTER A/S,Nordic Computer,100.0,Auto-Accepted,nordiccomputer.com,Denmark
NORDIX DATA AS,Nordix Data,100.0,Auto-Accepted,nordix.no,Norway
DMA Research A/S,DMA International,41.37931034482759,Reject,dma-international.com,Denmark
NORWEGIAN AIR SHUTTLE AS (PS),Norwegian Air Shuttle,91.30434782608695,Auto-Accepted,norwegianair.ru,Norway
NOVATARIS A/S,Novataris,100.0,Auto-Accepted,novataris.com,Denmark
Ntt (Thailand) Ltd,NTT DATA Thailand,82.75862068965517,Manual-Review,,Thailand
NTT ASIA PACIFIC HOLDINGS PTE. LIMITED,Amazon,78.57142857142857,Manual-Review,amazon.sg,Singapore
NTT DATA Business Solutions Korlatolt Felelossegu Tarsasag,NTT DATA Business Solutions Hungary,66.66666666666666,Manual-Review,,Hungary
ITELLIGENCE A/S,IT ELLIGENCE,57.82608695652174,Manual-Review,itelligence.com.mx,Mexico
Ntt Malaysia Solutions Sdn. Bhd.,Malaysia Microelectronic Solutions,72.22222222222221,Manual-Review,my-ms.com,Malaysia
Ntt Msc Sdn. Bhd.,MYNAP,73.17073170731707,Manual-Review,mynap.my,Malaysia
OCH A/S,OCH,100.0,Auto-Accepted,och.dk,Denmark
OK A.M.B.A.,OK a.m.b.a,100.0,Auto-Accepted,ok.dk,Denmark
Omd (M) Sdn. Bhd.,OMD World Imaging,65.0,Manual-Review,omdworldimaging.com,Malaysia
OMD AS,OMD,60.0,Manual-Review,omd.pt,Portugal
Media Direction A/S,New Media Direction,98.23529411764706,Auto-Accepted,newmediadirection.dk,Denmark
OMEGA EXIM LIMITED,Omega Exim Limited,100.0,Auto-Accepted,omegaeximltd.com,Bangladesh
OMNICOM MEDIA GROUP AS,Omnicom Media Group AS,100.0,Auto-Accepted,,Norway
OMNICOM MEDIA GROUP ASIA PACIFIC PTE. LTD.,Omnicom Media Group Asia Pacific,94.11764705882352,Auto-Accepted,,Singapore
ON THE SPOT A/S,ON THE SPOT,100.0,Auto-Accepted,,Denmark
ONETRUST TECHNOLOGY LIMITED,ONETRUST,73.07692307692307,Manual-Review,cookiepedia.co.uk,United Kingdom
Oracle Corporation (Thailand) Co Ltd,Oracle Tours Thailand,75.0,Manual-Review,,Thailand
Oracle Corporation Malaysia Sdn. Bhd.,Tdata Corporation Malaysia Sdn. Bhd.,86.95652173913044,Manual-Review,,Malaysia
ORACLE DANMARK APS,Oracle Danmark,87.5,Manual-Review,,Denmark
ORACLE NORGE AS,Oracle Norge AS,100.0,Auto-Accepted,,Norway
ORACLE SVENSKA AB,Oracle Investments,73.68421052631578,Manual-Review,marcus-nilsson.com,Sweden
Orbis Oy,Worbis,100.0,Auto-Accepted,orbis.fi,Finland
OROGENIC ApS,Orogenic,100.0,Auto-Accepted,orogenic.dk,Denmark
"ORRICK, HERRINGTON & SUTCLIFFE (UK) LLP",Herrington Gate,52.0,Manual-Review,herringtongate.design,United Kingdom
P1 SECURITY,P1 Security,100.0,Auto-Accepted,p1sec.com,France
"Paco Casa Co.,Ltd.",PACO CASA a,76.92307692307693,Manual-Review,pacocasa.co.th,Thailand
PAKISTAN INSTITUTE OF NUCLEAR SCIENCE & TECHNOLOGY (PINSTECH),Pakistan Institute of Nuclear Science & Technology,91.58878504672897,Auto-Accepted,,Pakistan
PARENT AND FAMILY CONSULTING LIMITED,Parent Zone Local,100.0,Auto-Accepted,parentzone.org.uk,United Kingdom
PELATRO LIMITED,Pelatro Limited,60.0,Manual-Review,pelatro.com,India
Varsta Software,Varsta Petri,66.66666666666666,Manual-Review,,Finland
PING IT A/S,Ping IT,100.0,Auto-Accepted,pingit.dk,Denmark
Playable ApS,Playable,100.0,Auto-Accepted,playable.com,Denmark
PLESNER Advokatpartnerselskab,Plesners psykolog praksis,44.44444444444444,Reject,plesners.net,Denmark
PLP INVEST/EJENDOMME A/S,PLP Invest Ejendomme,97.43589743589743,Auto-Accepted,plp-ejendomme.dk,Denmark
"PLURALSIGHT, LLC",Pluralsight,100.0,Auto-Accepted,tordkalvenes.com,United States
PM ENERGI A/S,Pm energi,100.0,Auto-Accepted,pmenergi.dk,Denmark
Postnord Danmark (B2452),PostNord Danmark Rundt,77.27272727272727,Manual-Review,postnorddanmarkrundt.dk,Denmark
POSTEN BRING AS,Posten Bring,100.0,Auto-Accepted,postenbring.no,Norway
DATA SCANNING A/S,Scanning,76.19047619047619,Manual-Review,scanning.dk,Denmark
PostNord Stralfors AB,PostNord Stralfors,92.3076923076923,Auto-Accepted,stralfors.com,Sweden
PRICEWATERHOUSECOOPERS STATSAUTORISERET REVISIONSPARTNERSELSKAB,Pricewaterhousecoopers Statsautoriseret Revisionspartnerselskab,100.0,Auto-Accepted,,Denmark
PRICEWATERHOUSECOOPERS AS,PWC- PricewaterhouseCoopers AS,91.66666666666666,Auto-Accepted,,Norway
PROPAKISTANI SOLUTIONS (PRIVATE) LIMITED,ProPakistani,70.58823529411765,Manual-Review,propakistani.pk,Pakistan
DRAKA NORSK KABEL AS,Celsa Steel Service,27.77777777777778,Reject,celsa-steelservice.no,Norway
Publicis Groupe Holdings B.V.,Publicis Groupe,71.42857142857143,Manual-Review,publicisgroupe.nl,Netherlands
QCC GLOBAL LIMITED,QCC Global,100.0,Auto-Accepted,qccglobal.com,United Kingdom
QCC INTERSCAN LTD,Interscan Transportation,81.81818181818183,Manual-Review,interscanltd.co.uk,United Kingdom
QLIKTECH DENMARK ApS,Birk Denmark,77.77777777777779,Manual-Review,birkdenmark.com,Denmark
QlikTech International Markets AB,QLIKTECH INTERNATIONAL MARKETS AB.,100.0,Auto-Accepted,,Sweden
QlikTech Nordic AB,QLIKTECH INTERNATIONAL AB.,65.11627906976744,Manual-Review,,Sweden
"QUALTRICS, LLC",Qualtrics LLC.,100.0,Auto-Accepted,,United States
QUESTBACK AS,Questback,100.0,Auto-Accepted,questback.com,Norway
Radio Frequency Systems Gesellschaft mit beschrankter Haftung,Radio Frequency Systems,60.86956521739131,Manual-Review,rfsworld.net,Germany
RAJAH & TANN,Rajah & Tann,100.0,Auto-Accepted,rajahtannasia.com,Singapore
RAPID7 INTERNATIONAL LIMITED,Rapid 7 EMEA Internal Moose,63.829787234042556,Manual-Review,emea-internalmoose-swag.com,United Kingdom
Red Hat Asia Pacific Pte Ltd,Red Hat Asia Pacific,90.9090909090909,Auto-Accepted,,Singapore
RED HAT LIMITED,Red Flare,62.5,Manual-Review,redflare.co,Ireland
Red Hat Malaysia Sdn. Bhd.,Red Harvest Malaysia,72.72727272727273,Manual-Review,redharvestmalaysia.com,Malaysia
RELOCATION AS,Relocation,100.0,Auto-Accepted,relocation.no,Norway
RETAIL FOCUS A/S,Retail CC,76.19047619047619,Manual-Review,retailcc.dk,Denmark
REVEALCX LLC,RevealCX Inc.,80.0,Manual-Review,aiincx.com,United States
Rezponz A/S,Rezponz,100.0,Auto-Accepted,rezponz.dk,Denmark
Rhenus Warehousing Solutions Denmark A/S,Rhenus Warehousing Solutions,87.5,Manual-Review,,Denmark
RITTAL A/S,Rittal A/S.,100.0,Auto-Accepted,rittal.dk,Denmark
RTTD LTD,RTTD,60.0,Manual-Review,rttd.de,Germany
BRINTH & HILLERUP A/S,Hillerup Gredstedbro,44.44444444444444,Reject,,Denmark
SAGEMCOM BROADBAND SAS,Sagemcom,66.66666666666666,Manual-Review,sagemcom.com,France
"SAILPOINT TECHNOLOGIES, INC.",SAILPOINT TECHNOLOGIES,100.0,Auto-Accepted,sailpointt.xyz,United States
SALESFORCE UK LIMITED,The Salesforce PM,73.33333333333333,Manual-Review,marseillanvacances.com,United Kingdom
SALESFORCE.COM SINGAPORE PTE. LTD.,DancingMind,42.857142857142854,Reject,dancingmind.com,Singapore
Salling Group Forsikring A/S,Salling Group,70.27027027027027,Manual-Review,sallinggroup.com,Denmark
Saluran Cekap (M) Sdn. Bhd.,Saluran Cekap M Sdn Bhd.,100.0,Auto-Accepted,,Malaysia
SAMSUNG ELECTRONICS NORDIC AKTIEBOLAG,Samsung Electronics Nordic AB.,87.87878787878788,Manual-Review,,Sweden
SANVARU TECHNOLOGY LIMITED,Sanvaru Technology,100.0,Auto-Accepted,sanvaru.com,India
SAP DANMARK A/S,SAP HANA,73.68421052631578,Manual-Review,saphana.dk,Denmark
SAS INSTITUTE AS,SAS Institute,60.0,Manual-Review,sasinstitute.in,India
SAVILLE CONSULTING DANMARK A/S,Saville Consulting Danmark,100.0,Auto-Accepted,savilleconsulting.dk,Denmark
SCHNEIDER ELECTRIC DANMARK A/S,Schneider Electric Denmark A/S.,96.15384615384616,Auto-Accepted,studiecd.dk,Denmark
Scrive AB,Scrive,80.0,Manual-Review,scrive.com,Sweden
ServiceNow Nederland B.V.,ServiceNow BV.,72.22222222222221,Manual-Review,servicenow.nl,Netherlands
SFDC IRELAND LIMITED,SFDC,25.0,Reject,sfdc.org,United States
"SHANDONG SACRED SUN POWER SOURCES CO., LTD",Shandong Faithwit Power Sources Co. Ltd.,75.0,Manual-Review,,China
"SHENZHEN CENTER POWER TECH. CO., LTD.",Vision_Smart_Batteries_Backup_Power,89.65517241379311,Manual-Review,g0t8tt0j.com,China
"Shenzhen Huaptec Co., Ltd",Shenzhen Aomiou Technology Co. Ltd.,61.904761904761905,Manual-Review,aomiou.en.alibaba.com,China
"Shenzhen Sdmc Technology Co., Ltd",XMediaCloud,100.0,Auto-Accepted,xmediacloud.com,China
"SHENZHEN SKYWORTH DIGITAL TECHNOLOGY CO., LTD.",Shenzhen Skyworth Digital Technology Co. Ltd. Beijing Branch,80.89887640449437,Manual-Review,,China
SHIELDS ENVIRONMENTAL GROUP LTD,Shields Dance Group,65.21739130434783,Manual-Review,,United Kingdom
"Shuangdeng Group Co., Ltd.",Shuangdeng Group,100.0,Auto-Accepted,shuangdeng.com.cn,China
Siae Microelettronica Sdn. Bhd.,Cube-Coms,54.54545454545454,Manual-Review,cube-coms.com,Malaysia
Siae-microelettronica - S.p.a.,SIAE MICROELETTRONICA,86.95652173913044,Manual-Review,siaemic.com,Italy
Sievo Oy,Sievo Bucharest Office,46.666666666666664,Reject,sievo.com,Finland
SIGNICAT AS,Signicat,60.0,Manual-Review,signicat.com,Lithuania
SILLEHOVED ApS,Sillehoved,83.33333333333334,Manual-Review,,Denmark
SINGTEL GLOBAL INVESTMENT PTE. LTD.,Robo Global Investment,80.0,Manual-Review,roboglobal.info,Singapore
SiPM,SIPM,60.0,Manual-Review,sipm.com.au,Australia
Skillpower Services (Thailand) Co Ltd,Dan Murdoch Risk Services,41.509433962264154,Reject,risk.co.th,Thailand
SKYCALL AS,Skycall AS,100.0,Auto-Accepted,skycallas.no,Norway
Smart Media4U Technology Pte. Ltd.,Smart Modular,85.71428571428571,Manual-Review,smartmodular.sg,Singapore
SMART TECHNOLOGIES (BD) LIMITED,Smart Technologies BD Ltd. Store Room,77.77777777777779,Manual-Review,smartbd.com,Bangladesh
Smartly.io Holding Inc,SF Holding,66.66666666666666,Manual-Review,sf-holding.fi,Finland
SNOW SOFTWARE AB,SNOW SOFTWARE,89.65517241379311,Manual-Review,snowsoftware.com,Sweden
Snow Software ApS,Snow Software ApS.,100.0,Auto-Accepted,snow-software.cc,Denmark
SNOW AS,Snow Stock,67.14285714285714,Manual-Review,snowstock.no,Norway
"SoftwareONE Co., Ltd.",SoftwareOne,60.0,Manual-Review,softwareone.digital,
SOFTWAREONE NORWAY AS,SoftwareONE Norway,100.0,Auto-Accepted,,Norway
SOFTWAREONE PTE. LTD.,SoftwareOne,42.30769230769231,Reject,softwareone.digital,
SONY MOBILE COMMUNICATIONS AB,Mobile Communications Thesaurus,76.66666666666667,Manual-Review,mcab.se,Sweden
South Pole Sweden AB,South Sweden BBQ,77.77777777777779,Manual-Review,ssbbq.se,Sweden
Southern Cable Sdn. Bhd.,Southern Nine Sdn. Bhd.,83.72093023255815,Manual-Review,southernnine.com,Malaysia
Splunk Inc.,Splunk,100.0,Auto-Accepted,support.splunk.psu.edu,United States
SPORTS STAR INTERNATIONAL (PRIVATE) LTD.,Sports Star International Pvt Ltd.,100.0,Auto-Accepted,,Pakistan
SQUARETRADE EUROPE LIMITED,SquareTrade,37.93103448275862,Reject,mercuryinsurancewarranty.com,
SQUARETRADE LIMITED,SquareTrade,100.0,Auto-Accepted,squaretrade.uk,United Kingdom
Starcom FZ-LLC,Starcominfo,66.66666666666666,Manual-Review,starcominfo.com,United Arab Emirates
STARSEED TECHNOLOGIES (S) PTE. LTD.,Starseed Technologies S Pte. Ltd.,100.0,Auto-Accepted,,Singapore
Stena Recycling Holding AB,Stena Recycling AB.,81.81818181818183,Manual-Review,,Sweden
STORM COMMUNICATIONS AS,Storm Communications,100.0,Auto-Accepted,stormhuset.no,Norway
SUBEX (ASIA PACIFIC) PTE. LIMITED,Subex,30.985915492957744,Reject,subex.com,India
SUBEX (UK) LIMITED,SUBEX,38.46153846153847,Reject,subex.org,Egypt
Sutera Utama Sdn. Bhd.,Sutera Utama Sdn. Bhd.,100.0,Auto-Accepted,sutera.my,Malaysia
Swichtec Power Systems Sdn. Bhd.,Swichtec Power Systems,100.0,Auto-Accepted,swichtec.com.my,Malaysia
Syarikat Takaful Malaysia Keluarga Berhad,CariTakaful.Keluarga,82.85714285714286,Manual-Review,caritakafulkeluarga.com,Malaysia
"SYNIVERSE COMMUNICATIONS, LLC",Syniverse Sales Kickoff,50.98039215686274,Manual-Review,syniversesko.com,United States
Systems Limited,Techvista Systems,100.0,Auto-Accepted,systemsltd.com,Pakistan
Systemteknik af 2021 A/S,System Teknik,72.72727272727273,Manual-Review,system-teknik.dk,Denmark
T/A POL AS,POL,66.66666666666666,Manual-Review,pol.no,Norway
TALEND SINGAPORE PTE. LTD.,Reed Tan Digital,35.0,Reject,reedtan.com,Singapore
Talend Sweden AB,Talend sa.,72.0,Manual-Review,investerarpengarskpj.web.app,Sweden
Talentech ApS,Talentech Denmark,73.33333333333333,Manual-Review,talentech.dk,Denmark
TAMPNET AS,Tampnet AS,100.0,Auto-Accepted,tampnet.com,Norway
Tata Communications International Pte. Ltd.,TATA COMMUNICATIONS DIGO,72.1311475409836,Manual-Review,tatacommunications-ts.com,Singapore
TATA COMMUNICATIONS INTERNATIONAL PTE. LTD.,TATA COMMUNICATIONS DIGO,72.1311475409836,Manual-Review,tatacommunications-ts.com,Singapore
"TATA CONSULTANCY SERVICES LIMITED, FILIAL AF TATA CONSULTANCY SERVICES LTD.,INDIEN",Tata Consultancy Services Chile S.A.,28.30188679245283,Reject,,Chile
TATA CONSULTANCY SERVICES SVERIGE AB,Maryem Nasri Consultancy,46.666666666666664,Reject,retaildetailconsulting.com,Sweden
TCT MOBILE INTERNATIONAL LTD.,Mobile Tech International HK Co Ltd.,76.92307692307693,Manual-Review,,Hong Kong
TD SYNNEX Denmark ApS,Midtjysk Hundecenter,34.146341463414636,Reject,midtjysk-hundecenter.dk,Denmark
TEALIUM INC.,TEALIUM,100.0,Auto-Accepted,tealium.com,United States
"TEAM INTERNATIONAL SERVICES, INC.",TEAM International,100.0,Auto-Accepted,teaminternational.com,United States
TECH MAHINDRA (THAILAND) COMPANY LIMITED,Vigotext,79.24528301886792,Manual-Review,vigotext.com,Thailand
Tech Mahindra Ict Services (Malaysia) Sdn. Bhd.,tech Action,54.83870967741935,Manual-Review,techaction.com.my,Malaysia
Tecnotree Oyj,Tecnotree,81.81818181818183,Manual-Review,tecnotree.com,Finland
TELECOM EQUIPMENT PTE LTD,Telecom Equipment Pte Ltd.,100.0,Auto-Accepted,,Singapore
Telekom Malaysia Berhad,Telekom Malaysia,93.02325581395348,Auto-Accepted,tm.com.my,Malaysia
TELENOR SHARED SERVICES DENMARK A/S,Payment Services,63.63636363636363,Manual-Review,betalingsservice.dk,Denmark
TELENOR ASA,Telenor,77.77777777777779,Manual-Review,telenor.com,Norway
TELENOR BROADCAST HOLDING AS,Nordic Broadcast,65.3061224489796,Manual-Review,nordicbroadcast.no,Norway
Telenor Connexion AB,Telenor Connexion,91.8918918918919,Auto-Accepted,telenorconnexion.com,Sweden
TELENOR D.O.O. BEOGRAD,Yettel,73.33333333333333,Manual-Review,yettel.rs,Serbia
TELENOR DANMARK HOLDING A/S,Danpor Agri Holding A/S.,66.66666666666666,Manual-Review,,Denmark
TELENOR DIGITAL AS,Telenor Towers,62.06896551724138,Manual-Review,telenortowers.com,Norway
TELENOR FIBER AS,Telefiber,81.81818181818183,Manual-Review,telefiber.no,Norway
TELENOR GLOBAL SHARED SERVICES PAKISTAN (PRIVATE) LIMITED,Environmental Services Pakistan,65.71428571428571,Manual-Review,espak.com.pk,Pakistan
TELENOR GO PTE. LTD.,Telenor Asia,61.53846153846154,Manual-Review,telenorasia.com,Singapore
TELENOR LDI COMMUNICATIONS (PVT.) LIMITED,Telenor Franchise Brainz Communication,71.875,Manual-Review,,Pakistan
TELENOR GLOBAL SERVICES AS,Telenor Cloud services AS,84.44444444444444,Manual-Review,,Norway
Telenor Magyarorszag Zrt.,GegeStore,100.0,Auto-Accepted,gegestore.hu,Hungary
TELENOR NORGE AS,Telenor Norges,96.29629629629629,Auto-Accepted,telenor.no,Norway
TELENOR PAKISTAN,Telenor Pakistan,100.0,Auto-Accepted,telenor.com.pk,Pakistan
TELENOR PROCUREMENT COMPANY PTE. LTD.,Telenor Inpli Singapore,44.44444444444444,Reject,,Singapore
TELENOR REAL ESTATE AS,Real Estate AS,73.33333333333333,Manual-Review,,Norway
Telenor Shared Services AS,Telenor Cloud services AS,80.0,Manual-Review,,Norway
TELENOR SOFTWARE LAB AS,Telenor Software Lab AS TSL,88.88888888888889,Manual-Review,minepapir.no,Norway
TELENOR SVALBARD AS,Svalbard,66.66666666666666,Manual-Review,svalbard.money,Norway
TELETEAMET A/S,Teleteamet A/S.,100.0,Auto-Accepted,teleteamet.dk,Denmark
Teliti Teknik Sdn Bhd,TELITI TEKNIK,95.45454545454545,Auto-Accepted,telititeknik.com.my,Malaysia
Textilia Group A/S,Textilia,100.0,Auto-Accepted,textilia.dk,Denmark
Thailife Insurance Public Company Limited,Thai Life in Germany,98.50746268656717,Auto-Accepted,thailifeingermany.com,Thailand
SETEC CARD A/S,SETEC,33.33333333333333,Reject,setec-gmbh.at,Austria
GEMALTO NORGE AS,Gemalto Norge AS,100.0,Auto-Accepted,,Norway
